id,states,year,population
1,AL,2010,4785492
2,AK,2010,714031
4,AZ,2010,6408312
5,AR,2010,2921995
6,CA,2010,37332685
8,CO,2010,5048644
9,CT,2010,3579899
10,DE,2010,899816
11,DC,2010,605183
12,FL,2010,18849098
13,GA,2010,9713521
15,HI,2010,1363945
16,ID,2010,1571010
17,IL,2010,12841578
18,IN,2010,6490528
19,IA,2010,3050738
20,KS,2010,2858850
21,KY,2010,4348662
22,LA,2010,4544996
23,ME,2010,1327730
24,MD,2010,5788584
25,MA,2010,6565524
26,MI,2010,9877495
27,MN,2010,5311147
28,MS,2010,2970322
29,MO,2010,5996118
30,MT,2010,990641
31,NE,2010,1830051
32,NV,2010,2703284
33,NH,2010,1316872
34,NJ,2010,8803729
35,NM,2010,2064756
36,NY,2010,19402640
37,NC,2010,9558915
38,ND,2010,674526
39,OH,2010,11540983
40,OK,2010,3759603
41,OR,2010,3838048
42,PA,2010,12712343
44,RI,2010,1053337
45,SC,2010,4635943
46,SD,2010,816325
47,TN,2010,6356671
48,TX,2010,25244310
49,UT,2010,2775326
50,VT,2010,625982
51,VA,2010,8025773
53,WA,2010,6743226
54,WV,2010,1854230
55,WI,2010,5690263
56,WY,2010,564513
1,AL,2011,4799918
2,AK,2011,722713
4,AZ,2011,6467163
5,AR,2011,2939493
6,CA,2011,37676861
8,CO,2011,5118360
9,CT,2011,3589893
10,DE,2011,907924
11,DC,2011,620477
12,FL,2011,19096952
13,GA,2011,9811610
15,HI,2011,1377864
16,ID,2011,1584143
17,IL,2011,12860012
18,IN,2011,6516480
19,IA,2011,3065223
20,KS,2011,2869503
21,KY,2011,4369354
22,LA,2011,4575404
23,ME,2011,1328231
24,MD,2011,5843603
25,MA,2011,6611923
26,MI,2011,9876213
27,MN,2011,5348562
28,MS,2011,2978162
29,MO,2011,6010717
30,MT,2011,997821
31,NE,2011,1842283
32,NV,2011,2718379
33,NH,2011,1318473
34,NJ,2011,8841243
35,NM,2011,2077756
36,NY,2011,19519529
37,NC,2011,9650963
38,ND,2011,685476
39,OH,2011,11544824
40,OK,2011,3786274
41,OR,2011,3868031
42,PA,2011,12744293
44,RI,2011,1052451
45,SC,2011,4672637
46,SD,2011,824398
47,TN,2011,6397634
48,TX,2011,25646389
49,UT,2011,2816124
50,VT,2011,626730
51,VA,2011,8110035
53,WA,2011,6822520
54,WV,2011,1854972
55,WI,2011,5709640
56,WY,2011,567725
1,AL,2012,4815960
2,AK,2012,731089
4,AZ,2012,6549634
5,AR,2012,2950685
6,CA,2012,38011074
8,CO,2012,5189867
9,CT,2012,3593795
10,DE,2012,916993
11,DC,2012,635327
12,FL,2012,19344156
13,GA,2012,9914668
15,HI,2012,1391820
16,ID,2012,1595911
17,IL,2012,12870798
18,IN,2012,6537743
19,IA,2012,3076310
20,KS,2012,2885262
21,KY,2012,4384799
22,LA,2012,4603429
23,ME,2012,1328895
24,MD,2012,5889651
25,MA,2012,6658008
26,MI,2012,9887238
27,MN,2012,5380285
28,MS,2012,2984945
29,MO,2012,6025415
30,MT,2012,1005196
31,NE,2012,1855725
32,NV,2012,2752565
33,NH,2012,1321182
34,NJ,2012,8873211
35,NM,2012,2083784
36,NY,2012,19602769
37,NC,2012,9746175
38,ND,2012,702087
39,OH,2012,11550839
40,OK,2012,3817054
41,OR,2012,3899116
42,PA,2012,12771854
44,RI,2012,1052901
45,SC,2012,4720760
46,SD,2012,834441
47,TN,2012,6454306
48,TX,2012,26071655
49,UT,2012,2855782
50,VT,2012,626444
51,VA,2012,8192048
53,WA,2012,6895226
54,WV,2012,1856560
55,WI,2012,5726177
56,WY,2012,576765
1,AL,2013,4829479
2,AK,2013,736879
4,AZ,2013,6624617
5,AR,2013,2958663
6,CA,2013,38335203
8,CO,2013,5267603
9,CT,2013,3596003
10,DE,2013,925395
11,DC,2013,649165
12,FL,2013,19582022
13,GA,2013,9984938
15,HI,2013,1406481
16,ID,2013,1612011
17,IL,2013,12879505
18,IN,2013,6569102
19,IA,2013,3091930
20,KS,2013,2892821
21,KY,2013,4400477
22,LA,2013,4626402
23,ME,2013,1329076
24,MD,2013,5931129
25,MA,2013,6706786
26,MI,2013,9898982
27,MN,2013,5418521
28,MS,2013,2990482
29,MO,2013,6042711
30,MT,2013,1014314
31,NE,2013,1868559
32,NV,2013,2786464
33,NH,2013,1322687
34,NJ,2013,8899162
35,NM,2013,2085193
36,NY,2013,19673546
37,NC,2013,9841590
38,ND,2013,724019
39,OH,2013,11570022
40,OK,2013,3852415
41,OR,2013,3925751
42,PA,2013,12781338
44,RI,2013,1053033
45,SC,2013,4767894
46,SD,2013,844922
47,TN,2013,6494821
48,TX,2013,26473525
49,UT,2013,2902663
50,VT,2013,627140
51,VA,2013,8262692
53,WA,2013,6968006
54,WV,2013,1853231
55,WI,2013,5742854
56,WY,2013,582684
1,AL,2014,4843214
2,AK,2014,736705
4,AZ,2014,6719993
5,AR,2014,2966912
6,CA,2014,38680810
8,CO,2014,5349648
9,CT,2014,3591873
10,DE,2014,934948
11,DC,2014,659005
12,FL,2014,19888741
13,GA,2014,10087231
15,HI,2014,1416349
16,ID,2014,1633532
17,IL,2014,12867544
18,IN,2014,6595233
19,IA,2014,3108030
20,KS,2014,2899360
21,KY,2014,4413057
22,LA,2014,4647880
23,ME,2014,1330719
24,MD,2014,5967295
25,MA,2014,6749911
26,MI,2014,9915767
27,MN,2014,5453109
28,MS,2014,2992400
29,MO,2014,6060930
30,MT,2014,1022867
31,NE,2014,1881145
32,NV,2014,2833013
33,NH,2014,1328743
34,NJ,2014,8925001
35,NM,2014,2083024
36,NY,2014,19718515
37,NC,2014,9934399
38,ND,2014,739904
39,OH,2014,11594408
40,OK,2014,3877499
41,OR,2014,3968371
42,PA,2014,12790565
44,RI,2014,1054480
45,SC,2014,4828430
46,SD,2014,852561
47,TN,2014,6544663
48,TX,2014,26944751
49,UT,2014,2941836
50,VT,2014,626984
51,VA,2014,8317372
53,WA,2014,7054196
54,WV,2014,1848514
55,WI,2014,5758377
56,WY,2014,583642
1,AL,2015,4853875
2,AK,2015,737709
4,AZ,2015,6817565
5,AR,2015,2977853
6,CA,2015,38993940
8,CO,2015,5448819
9,CT,2015,3584730
10,DE,2015,944076
11,DC,2015,670377
12,FL,2015,20244914
13,GA,2015,10199398
15,HI,2015,1425157
16,ID,2015,1652828
17,IL,2015,12839047
18,IN,2015,6612768
19,IA,2015,3121997
20,KS,2015,2906721
21,KY,2015,4424611
22,LA,2015,4668960
23,ME,2015,1329453
24,MD,2015,5994983
25,MA,2015,6784240
26,MI,2015,9917715
27,MN,2015,5482435
28,MS,2015,2989390
29,MO,2015,6076204
30,MT,2015,1032073
31,NE,2015,1893765
32,NV,2015,2883758
33,NH,2015,1330111
34,NJ,2015,8935421
35,NM,2015,2080328
36,NY,2015,19747183
37,NC,2015,10035186
38,ND,2015,756835
39,OH,2015,11605090
40,OK,2015,3907414
41,OR,2015,4024634
42,PA,2015,12791904
44,RI,2015,1055607
45,SC,2015,4894834
46,SD,2015,857919
47,TN,2015,6595056
48,TX,2015,27429639
49,UT,2015,2990632
50,VT,2015,626088
51,VA,2015,8367587
53,WA,2015,7160290
54,WV,2015,1841053
55,WI,2015,5767891
56,WY,2015,586555
1,AL,2016,4863300
2,AK,2016,741894
4,AZ,2016,6931071
5,AR,2016,2988248
6,CA,2016,39250017
8,CO,2016,5540545
9,CT,2016,3576452
10,DE,2016,952065
11,DC,2016,681170
12,FL,2016,20612439
13,GA,2016,10310371
15,HI,2016,1428557
16,ID,2016,1683140
17,IL,2016,12801539
18,IN,2016,6633053
19,IA,2016,3134693
20,KS,2016,2907289
21,KY,2016,4436974
22,LA,2016,4681666
23,ME,2016,1331479
24,MD,2016,6016447
25,MA,2016,6811779
26,MI,2016,9928300
27,MN,2016,5519952
28,MS,2016,2988726
29,MO,2016,6093000
30,MT,2016,1042520
31,NE,2016,1907116
32,NV,2016,2940058
33,NH,2016,1334795
34,NJ,2016,8944469
35,NM,2016,2081015
36,NY,2016,19745289
37,NC,2016,10146788
38,ND,2016,757952
39,OH,2016,11614373
40,OK,2016,3923561
41,OR,2016,4093465
42,PA,2016,12784227
44,RI,2016,1056426
45,SC,2016,4961119
46,SD,2016,865454
47,TN,2016,6651194
48,TX,2016,27862596
49,UT,2016,3051217
50,VT,2016,624594
51,VA,2016,8411808
53,WA,2016,7288000
54,WV,2016,1831102
55,WI,2016,5778708
56,WY,2016,585501